Review,Liked,Review_cleaned,Review_lemmatized,Review_tokenized,Review_Length,polarity,sentiment
"The food, amazing.",1,the food amazing,the food amazing,"['the', 'food', 'amazing']",18,0.5859,1
Service is also cute.,1,service also cute,service also cute,"['service', 'also', 'cute']",21,0.4588,1
I could care less... The interior is just beautiful.,1,i could care the beautiful,i could care the beautiful,"['i', 'could', 'care', 'the', 'beautiful']",52,0.7964,1
So they performed.,1,so,so,['so'],18,0.0,0
That's right....the red velvet cake.....ohhh this stuff is so good.,1,thats red stuff good,thats red stuff good,"['thats', 'red', 'stuff', 'good']",67,0.4404,1
- They never brought a salad we asked for.,0,they never brought salad asked for,they never brought salad asked for,"['they', 'never', 'brought', 'salad', 'asked', 'for']",42,0.0,0
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,this wall great mexican tacos friendly staff,this wall great mexican taco friendly staff,"['this', 'wall', 'great', 'mexican', 'taco', 'friendly', 'staff']",73,0.8074,1
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took hour get food tables restaurant food warm our running around like totally overwhelmed,took hour get food table restaurant food warm our running around like totally overwhelmed,"['took', 'hour', 'get', 'food', 'table', 'restaurant', 'food', 'warm', 'our', 'running', 'around', 'like', 'totally', 'overwhelmed']",141,0.5984,1
The worst was the salmon sashimi.,0,the worst salmon sashimi,the worst salmon sashimi,"['the', 'worst', 'salmon', 'sashimi']",33,-0.6249,0
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also like burger fries beer decent deal,also like burger fry beer decent deal,"['also', 'like', 'burger', 'fry', 'beer', 'decent', 'deal']",83,0.3612,1
This was like the final blow!,0,this like,this like,"['this', 'like']",29,0.3612,1
I found this place by accident and I could not be happier.,1,i found place i could not,i found place i could not,"['i', 'found', 'place', 'i', 'could', 'not']",58,0.0,0
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like good quick place bite familiar food favor look elsewhere,seems like good quick place bite familiar food favor look elsewhere,"['seems', 'like', 'good', 'quick', 'place', 'bite', 'familiar', 'food', 'favor', 'look', 'elsewhere']",115,0.7964,1
"Overall, I like this place a lot.",1,overall i like place lot,overall i like place lot,"['overall', 'i', 'like', 'place', 'lot']",33,0.3612,1
The only redeeming quality of the restaurant was that it was very inexpensive.,1,the quality restaurant inexpensive,the quality restaurant inexpensive,"['the', 'quality', 'restaurant', 'inexpensive']",78,0.0,0
Ample portions and good prices.,1,portions good prices,portion good price,"['portion', 'good', 'price']",31,0.4404,1
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service waiter made feel like i every time came table,poor service waiter made feel like i every time came table,"['poor', 'service', 'waiter', 'made', 'feel', 'like', 'i', 'every', 'time', 'came', 'table']",88,-0.1531,0
My first visit to Hiro was a delight!,1,my first visit delight,my first visit delight,"['my', 'first', 'visit', 'delight']",37,0.5994,1
Service sucks.,0,service sucks,service suck,"['service', 'suck']",14,-0.4404,0
The shrimp tender and moist.,1,the shrimp tender moist,the shrimp tender moist,"['the', 'shrimp', 'tender', 'moist']",28,0.0,0
There is not a deal good enough that would drag me into that establishment again.,0,there not deal good enough would establishment again,there not deal good enough would establishment again,"['there', 'not', 'deal', 'good', 'enough', 'would', 'establishment', 'again']",81,-0.3412,0
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard judge sides good grossed didnt want eat getting sick,hard judge side good grossed didnt want eat getting sick,"['hard', 'judge', 'side', 'good', 'grossed', 'didnt', 'want', 'eat', 'getting', 'sick']",147,-0.3447,0
"On a positive note, our server was very attentive and provided great service.",1,on note server attentive great service,on note server attentive great service,"['on', 'note', 'server', 'attentive', 'great', 'service']",77,0.6249,1
"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen worst people behind,frozen worst people behind,"['frozen', 'worst', 'people', 'behind']",75,-0.6249,0
The only thing I did like was the prime rib and dessert section.,1,the thing i like dessert,the thing i like dessert,"['the', 'thing', 'i', 'like', 'dessert']",64,0.3612,1
It's too bad the food is so damn generic.,0,its bad food damn,it bad food damn,"['it', 'bad', 'food', 'damn']",41,-0.7351,0
"The burger is good beef, cooked just right.",1,the burger good beef cooked right,the burger good beef cooked right,"['the', 'burger', 'good', 'beef', 'cooked', 'right']",43,0.4404,1
If you want a sandwich just go to any Firehouse!!!!!,1,if want sandwich go,if want sandwich go,"['if', 'want', 'sandwich', 'go']",52,0.0772,1
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,my side greek salad greek dressing tasty pita hummus,my side greek salad greek dressing tasty pita hummus,"['my', 'side', 'greek', 'salad', 'greek', 'dressing', 'tasty', 'pita', 'hummus']",102,-0.5267,0
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,we ordered duck rare tender inside nice char outside,we ordered duck rare tender inside nice char outside,"['we', 'ordered', 'duck', 'rare', 'tender', 'inside', 'nice', 'char', 'outside']",98,0.4215,1
He came running after us when he realized my husband had left his sunglasses on the table.,1,he came running us realized husband left table,he came running u realized husband left table,"['he', 'came', 'running', 'u', 'realized', 'husband', 'left', 'table']",90,0.0,0
Their chow mein is so good!,1,their good,their good,"['their', 'good']",27,0.4404,1
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,they horrible attitudes towards customers talk one customers dont enjoy food,they horrible attitude towards customer talk one customer dont enjoy food,"['they', 'horrible', 'attitude', 'towards', 'customer', 'talk', 'one', 'customer', 'dont', 'enjoy', 'food']",112,-0.7293,0
The portion was huge!,1,the portion huge,the portion huge,"['the', 'portion', 'huge']",21,0.3182,1
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,loved servers great food wonderful menu,loved server great food wonderful menu,"['loved', 'server', 'great', 'food', 'wonderful', 'menu']",72,0.9136,1
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,the heart attack grill downtown vegas absolutely excuse restaurant,the heart attack grill downtown vega absolutely excuse restaurant,"['the', 'heart', 'attack', 'grill', 'downtown', 'vega', 'absolutely', 'excuse', 'restaurant']",93,-0.3626,0
Not much seafood and like 5 strings of pasta at the bottom.,0,not much seafood like pasta,not much seafood like pasta,"['not', 'much', 'seafood', 'like', 'pasta']",59,-0.2755,1
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,the salad right amount sauce not scallop perfectly cooked,the salad right amount sauce not scallop perfectly cooked,"['the', 'salad', 'right', 'amount', 'sauce', 'not', 'scallop', 'perfectly', 'cooked']",103,-0.5216,1
"The ripped banana was not only ripped, but petrified and tasteless.",0,the ripped not ripped tasteless,the ripped not ripped tasteless,"['the', 'ripped', 'not', 'ripped', 'tasteless']",67,0.0,0
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,at least think refill water i minutes,at least think refill water i minute,"['at', 'least', 'think', 'refill', 'water', 'i', 'minute']",84,0.0,0
This place receives stars for their APPETIZERS!!!,1,this place stars appetizers,this place star appetizer,"['this', 'place', 'star', 'appetizer']",49,0.0,0
The cocktails are all handmade and delicious.,1,the delicious,the delicious,"['the', 'delicious']",45,0.5719,1
We'd definitely go back here again.,1,definitely go back again,definitely go back again,"['definitely', 'go', 'back', 'again']",35,0.4019,1
We are so glad we found this place.,1,we glad found place,we glad found place,"['we', 'glad', 'found', 'place']",35,0.4588,1
"Great food and service, huge portions and they give a military discount.",1,great food service huge portions give,great food service huge portion give,"['great', 'food', 'service', 'huge', 'portion', 'give']",72,0.7506,1
Always a great time at Dos Gringos!,1,always great time,always great time,"['always', 'great', 'time']",35,0.6249,1
Update.....went back for a second time and it was still just as amazing,1,back second time still amazing,back second time still amazing,"['back', 'second', 'time', 'still', 'amazing']",71,0.5859,1
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,we got food never heard salt batter fish chewy,we got food never heard salt batter fish chewy,"['we', 'got', 'food', 'never', 'heard', 'salt', 'batter', 'fish', 'chewy']",98,0.0,0
A great way to finish a great.,1,a great way finish great,a great way finish great,"['a', 'great', 'way', 'finish', 'great']",30,0.8481,1
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,the deal drinks went beyond expected,the deal drink went beyond expected,"['the', 'deal', 'drink', 'went', 'beyond', 'expected']",91,0.0,0
"- Really, really good rice, all the time.",1,really really good rice time,really really good rice time,"['really', 'really', 'good', 'rice', 'time']",41,0.5379,1
The service was meh.,0,the service meh,the service meh,"['the', 'service', 'meh']",20,-0.0772,0
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,it took min get nothing,it took min get nothing,"['it', 'took', 'min', 'get', 'nothing']",87,0.0,0
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,i guess i known place would suck inside i didnt use,i guess i known place would suck inside i didnt use,"['i', 'guess', 'i', 'known', 'place', 'would', 'suck', 'inside', 'i', 'didnt', 'use']",128,-0.4404,0
The scallop dish is quite appalling for value as well.,0,the scallop dish quite value well,the scallop dish quite value well,"['the', 'scallop', 'dish', 'quite', 'value', 'well']",54,0.6214,1
2 times - Very Bad Customer Service !,0,times very bad customer service,time very bad customer service,"['time', 'very', 'bad', 'customer', 'service']",37,-0.5849,0
The sweet potato fries were very good and seasoned well.,1,the sweet potato fries good seasoned well,the sweet potato fry good seasoned well,"['the', 'sweet', 'potato', 'fry', 'good', 'seasoned', 'well']",56,0.7906,1
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time ive lunch buffet pretty good,today second time ive lunch buffet pretty good,"['today', 'second', 'time', 'ive', 'lunch', 'buffet', 'pretty', 'good']",80,0.7269,1
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,there much good food vegas i feel wasting eating opportunity going rice company,there much good food vega i feel wasting eating opportunity going rice company,"['there', 'much', 'good', 'food', 'vega', 'i', 'feel', 'wasting', 'eating', 'opportunity', 'going', 'rice', 'company']",119,0.4588,0
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,coming like underwhelming cant wait person ask break up,coming like underwhelming cant wait person ask break up,"['coming', 'like', 'underwhelming', 'cant', 'wait', 'person', 'ask', 'break', 'up']",133,0.3612,1
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked place like old grease others eating,walked place like old grease others eating,"['walked', 'place', 'like', 'old', 'grease', 'others', 'eating']",87,0.3612,1
The turkey and roast beef were bland.,0,the roast beef bland,the roast beef bland,"['the', 'roast', 'beef', 'bland']",37,0.0,0
This place has it!,1,this place it,this place it,"['this', 'place', 'it']",18,0.0,0
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,the everyone taste like sugary six year old,the everyone taste like sugary six year old,"['the', 'everyone', 'taste', 'like', 'sugary', 'six', 'year', 'old']",110,0.3612,0
I love the Pho and the spring rolls oh so yummy you have to try.,1,i love pho rolls oh yummy try,i love pho roll oh yummy try,"['i', 'love', 'pho', 'roll', 'oh', 'yummy', 'try']",64,0.8225,1
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,the poor batter meat made chicken,the poor batter meat made chicken,"['the', 'poor', 'batter', 'meat', 'made', 'chicken']",73,-0.4767,0
All I have to say is the food was amazing!!!,1,all i say food amazing,all i say food amazing,"['all', 'i', 'say', 'food', 'amazing']",44,0.5859,1
Omelets are to die for!,1,die for,die for,"['die', 'for']",23,-0.5994,0
Everything was fresh and delicious!,1,everything fresh delicious,everything fresh delicious,"['everything', 'fresh', 'delicious']",35,0.7184,1
"In summary, this was a largely disappointing dining experience.",0,in disappointing dining experience,in disappointing dining experience,"['in', 'disappointing', 'dining', 'experience']",63,-0.4939,0
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,its like really party mouth youre person party,it like really party mouth youre person party,"['it', 'like', 'really', 'party', 'mouth', 'youre', 'person', 'party']",117,0.8169,1
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never hard before will never ever in it again,never hard before will never ever in it again,"['never', 'hard', 'before', 'will', 'never', 'ever', 'in', 'it', 'again']",80,0.0762,1
Best breakfast buffet!!!,1,best breakfast buffet,best breakfast buffet,"['best', 'breakfast', 'buffet']",24,0.6369,1
say bye bye to your tip lady!,0,say bye bye tip lady,say bye bye tip lady,"['say', 'bye', 'bye', 'tip', 'lady']",29,0.0,0
We'll never go again.,0,well never go again,well never go again,"['well', 'never', 'go', 'again']",21,0.2732,0
Will be back again!,1,will back again,will back again,"['will', 'back', 'again']",19,0.0,0
Food arrived quickly!,1,food arrived quickly,food arrived quickly,"['food', 'arrived', 'quickly']",21,0.0,0
It was not good.,0,it not good,it not good,"['it', 'not', 'good']",16,-0.3412,0
"On the up side, their cafe serves really good food.",1,on side cafe serves really good food,on side cafe serf really good food,"['on', 'side', 'cafe', 'serf', 'really', 'good', 'food']",51,0.4927,1
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,our server fantastic found wife roasted garlic marrow added extra meal another marrow go,our server fantastic found wife roasted garlic marrow added extra meal another marrow go,"['our', 'server', 'fantastic', 'found', 'wife', 'roasted', 'garlic', 'marrow', 'added', 'extra', 'meal', 'another', 'marrow', 'go']",146,0.5574,1
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,the good thing waiter helpful kept coming,the good thing waiter helpful kept coming,"['the', 'good', 'thing', 'waiter', 'helpful', 'kept', 'coming']",90,0.6908,1
"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price cannot beat it,best buffet town price cannot beat it,"['best', 'buffet', 'town', 'price', 'can', 'not', 'beat', 'it']",54,0.6369,1
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,i loved cooked wine duck tender potato dishes delicious,i loved cooked wine duck tender potato dish delicious,"['i', 'loved', 'cooked', 'wine', 'duck', 'tender', 'potato', 'dish', 'delicious']",113,0.8225,1
This is one of the better buffets that I have been to.,1,this one better i to,this one better i to,"['this', 'one', 'better', 'i', 'to']",54,0.4404,1
So we went to Tigerlilly and had a fantastic afternoon!,1,so went fantastic,so went fantastic,"['so', 'went', 'fantastic']",55,0.5965,1
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,the food delicious bartender attentive and got great deal,the food delicious bartender attentive and got great deal,"['the', 'food', 'delicious', 'bartender', 'attentive', 'and', 'got', 'great', 'deal']",91,0.8316,1
The ambience is wonderful and there is music playing.,1,the ambience wonderful music playing,the ambience wonderful music playing,"['the', 'ambience', 'wonderful', 'music', 'playing']",53,0.6705,1
Will go back next trip out.,1,will go back next trip out,will go back next trip out,"['will', 'go', 'back', 'next', 'trip', 'out']",27,0.0,0
Sooooo good!!,1,good,good,['good'],13,0.4404,1
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lovers honest not good,real sushi lover honest not good,"['real', 'sushi', 'lover', 'honest', 'not', 'good']",59,0.6902,1
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,at least min passed us food wasnt busy,at least min passed u food wasnt busy,"['at', 'least', 'min', 'passed', 'u', 'food', 'wasnt', 'busy']",92,0.0,0
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,this really fantastic thai restaurant definitely worth visit,this really fantastic thai restaurant definitely worth visit,"['this', 'really', 'fantastic', 'thai', 'restaurant', 'definitely', 'worth', 'visit']",77,0.8173,1
"Nice, spicy and tender.",1,nice spicy tender,nice spicy tender,"['nice', 'spicy', 'tender']",23,0.4215,1
Good prices.,1,good prices,good price,"['good', 'price']",12,0.4404,1
Check it out.,1,check out,check out,"['check', 'out']",13,0.0,0
It was pretty gross!,0,it pretty gross,it pretty gross,"['it', 'pretty', 'gross']",20,0.0258,1
I've had better atmosphere.,0,ive better atmosphere,ive better atmosphere,"['ive', 'better', 'atmosphere']",27,0.4404,1
Kind of hard to mess up a steak but they did.,0,kind hard steak did,kind hard steak did,"['kind', 'hard', 'steak', 'did']",45,0.4588,0
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although i much liked look place experience bit disappointing,although i much liked look place experience bit disappointing,"['although', 'i', 'much', 'liked', 'look', 'place', 'experience', 'bit', 'disappointing']",107,-0.1027,0
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,i dont know place served food i ever eaten preparing indian,i dont know place served food i ever eaten preparing indian,"['i', 'dont', 'know', 'place', 'served', 'food', 'i', 'ever', 'eaten', 'preparing', 'indian']",126,0.0,0
"Worst service to boot, but that is the least of their worries.",0,worst service boot least,worst service boot least,"['worst', 'service', 'boot', 'least']",62,-0.6249,0
Service was fine and the waitress was friendly.,1,service fine waitress friendly,service fine waitress friendly,"['service', 'fine', 'waitress', 'friendly']",47,0.6124,1
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,the steaks steak steak best worst places said best steak ever eaten,the steak steak steak best worst place said best steak ever eaten,"['the', 'steak', 'steak', 'steak', 'best', 'worst', 'place', 'said', 'best', 'steak', 'ever', 'eaten']",140,0.6486,1
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,we thought youd away get good sushi place really hit spot night,we thought youd away get good sushi place really hit spot night,"['we', 'thought', 'youd', 'away', 'get', 'good', 'sushi', 'place', 'really', 'hit', 'spot', 'night']",111,0.4404,1
"Host staff were, for lack of a better word, BITCHES!",0,staff were better word,staff were better word,"['staff', 'were', 'better', 'word']",52,0.4404,0
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland not place i dont want waste time bad ill leave that,bland not place i dont want waste time bad ill leave that,"['bland', 'not', 'place', 'i', 'dont', 'want', 'waste', 'time', 'bad', 'ill', 'leave', 'that']",131,-0.6128,0
"Phenomenal food, service and ambiance.",1,food service ambiance,food service ambiance,"['food', 'service', 'ambiance']",38,0.0,0
I wouldn't return.,0,i return,i return,"['i', 'return']",18,0.0,0
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth strip pork belly return next time im vegas,definitely worth strip pork belly return next time im vega,"['definitely', 'worth', 'strip', 'pork', 'belly', 'return', 'next', 'time', 'im', 'vega']",96,0.5574,1
This place is way too overpriced for mediocre food.,0,this place way overpriced mediocre food,this place way overpriced mediocre food,"['this', 'place', 'way', 'overpriced', 'mediocre', 'food']",51,0.0,0
Penne vodka excellent!,1,excellent,excellent,['excellent'],22,0.5719,1
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,they good selection food sandwich chicken wrap delish tuna melt tasty burgers,they good selection food sandwich chicken wrap delish tuna melt tasty burger,"['they', 'good', 'selection', 'food', 'sandwich', 'chicken', 'wrap', 'delish', 'tuna', 'melt', 'tasty', 'burger']",139,0.4404,1
The management is rude.,0,the management rude,the management rude,"['the', 'management', 'rude']",23,-0.4588,0
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious bagels good selections cream cheese real even,delicious bagel good selection cream cheese real even,"['delicious', 'bagel', 'good', 'selection', 'cream', 'cheese', 'real', 'even']",81,0.765,1
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway fact good come every subway not,great subway fact good come every subway not,"['great', 'subway', 'fact', 'good', 'come', 'every', 'subway', 'not']",105,0.7906,1
I had a seriously solid breakfast here.,1,i seriously breakfast here,i seriously breakfast here,"['i', 'seriously', 'breakfast', 'here']",39,-0.1779,0
This is one of the best bars with food in Vegas.,1,this one best bars food vegas,this one best bar food vega,"['this', 'one', 'best', 'bar', 'food', 'vega']",48,0.6369,1
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,he extremely rude really many restaurants i would love dine vegas,he extremely rude really many restaurant i would love dine vega,"['he', 'extremely', 'rude', 'really', 'many', 'restaurant', 'i', 'would', 'love', 'dine', 'vega']",120,0.228,1
My drink was never empty and he made some really great menu suggestions.,1,my drink never empty made really great menu,my drink never empty made really great menu,"['my', 'drink', 'never', 'empty', 'made', 'really', 'great', 'menu']",72,0.7171,1
Don't do it!!!!,0,dont it,dont it,"['dont', 'it']",15,0.0,0
The waiter wasn't helpful or friendly and rarely checked on us.,0,the waiter wasnt helpful friendly rarely checked us,the waiter wasnt helpful friendly rarely checked u,"['the', 'waiter', 'wasnt', 'helpful', 'friendly', 'rarely', 'checked', 'u']",63,-0.6072,0
My husband and I ate lunch here and were very disappointed with the food and service.,0,my husband i ate lunch disappointed food service,my husband i ate lunch disappointed food service,"['my', 'husband', 'i', 'ate', 'lunch', 'disappointed', 'food', 'service']",85,-0.4767,0
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,and red curry much wasnt tasty me,and red curry much wasnt tasty me,"['and', 'red', 'curry', 'much', 'wasnt', 'tasty', 'me']",72,0.0,0
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice i feel like done subpar food,nice i feel like done subpar food,"['nice', 'i', 'feel', 'like', 'done', 'subpar', 'food']",87,0.6486,1
The bathrooms are clean and the place itself is well decorated.,1,the bathrooms clean place well decorated,the bathroom clean place well decorated,"['the', 'bathroom', 'clean', 'place', 'well', 'decorated']",63,0.5859,1
"The menu is always changing, food quality is going down & service is extremely slow.",0,the menu always food quality going service extremely slow,the menu always food quality going service extremely slow,"['the', 'menu', 'always', 'food', 'quality', 'going', 'service', 'extremely', 'slow']",84,0.0,0
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,the service little slow considering served people servers food coming slow pace,the service little slow considering served people server food coming slow pace,"['the', 'service', 'little', 'slow', 'considering', 'served', 'people', 'server', 'food', 'coming', 'slow', 'pace']",119,0.0,0
I give it 2 thumbs down,0,i give thumbs,i give thumb,"['i', 'give', 'thumb']",23,0.0,0
We watched our waiter pay a lot more attention to other tables and ignore us.,0,we watched waiter pay lot tables us,we watched waiter pay lot table u,"['we', 'watched', 'waiter', 'pay', 'lot', 'table', 'u']",77,-0.1027,0
This is a great restaurant at the Mandalay Bay.,1,this great restaurant bay,this great restaurant bay,"['this', 'great', 'restaurant', 'bay']",47,0.6249,1
We waited for forty five minutes in vain.,0,we waited minutes,we waited minute,"['we', 'waited', 'minute']",41,0.0,0
Crostini that came with the salad was stale.,0,came salad stale,came salad stale,"['came', 'salad', 'stale']",44,0.0,0
Some highlights : Great quality nigiri here!,1,some great quality here,some great quality here,"['some', 'great', 'quality', 'here']",44,0.6249,1
the staff is friendly and the joint is always clean.,1,staff friendly joint always clean,staff friendly joint always clean,"['staff', 'friendly', 'joint', 'always', 'clean']",52,0.7096,1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,different cut piece day still wonderful tender well well,different cut piece day still wonderful tender well well,"['different', 'cut', 'piece', 'day', 'still', 'wonderful', 'tender', 'well', 'well']",109,0.7003,1
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,i ordered pasta first time id really excellent pasta since going several years ago,i ordered pasta first time id really excellent pasta since going several year ago,"['i', 'ordered', 'pasta', 'first', 'time', 'id', 'really', 'excellent', 'pasta', 'since', 'going', 'several', 'year', 'ago']",126,0.6115,1
this place is good.,1,place good,place good,"['place', 'good']",19,0.4404,1
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately must hit bakery day everything ordered stale,unfortunately must hit bakery day everything ordered stale,"['unfortunately', 'must', 'hit', 'bakery', 'day', 'everything', 'ordered', 'stale']",99,-0.34,0
I came back today since they relocated and still not impressed.,0,i came back today since still not impressed,i came back today since still not impressed,"['i', 'came', 'back', 'today', 'since', 'still', 'not', 'impressed']",63,-0.3724,0
I was seated immediately.,1,i seated immediately,i seated immediately,"['i', 'seated', 'immediately']",25,0.0,0
"Their menu is diverse, and reasonably priced.",1,their menu reasonably priced,their menu reasonably priced,"['their', 'menu', 'reasonably', 'priced']",45,0.0,0
Avoid at all cost!,0,avoid,avoid,['avoid'],18,-0.296,0
Restaurant is always full but never a wait.,1,restaurant always full never wait,restaurant always full never wait,"['restaurant', 'always', 'full', 'never', 'wait']",43,0.0,0
DELICIOUS!!,1,delicious,delicious,['delicious'],11,0.5719,1
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,this place one best places eat phoenix area,this place one best place eat phoenix area,"['this', 'place', 'one', 'best', 'place', 'eat', 'phoenix', 'area']",81,0.6369,1
So don't go there if you are looking for good food...,0,so dont go looking good food,so dont go looking good food,"['so', 'dont', 'go', 'looking', 'good', 'food']",53,-0.3412,1
I've never been treated so bad.,0,ive never treated bad,ive never treated bad,"['ive', 'never', 'treated', 'bad']",31,0.431,0
Bacon is hella salty.,1,bacon,bacon,['bacon'],21,0.0,0
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,we also ordered salad sad dressing literally zero taste,we also ordered salad sad dressing literally zero taste,"['we', 'also', 'ordered', 'salad', 'sad', 'dressing', 'literally', 'zero', 'taste']",114,-0.4767,0
